date,datekey,day,month,month_name,year,weekday,weekofyear,is_weekend,data_extract_ts,day_of_week_category,Is_public_holiday,Quarter,Year_Month
2023-01-01,20230101,1,1,January,2023,Sunday,52,1,2025-11-18 11:50:37,Weekend,0,Q1,2023-Jan
2023-01-02,20230102,2,1,January,2023,Monday,1,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-03,20230103,3,1,January,2023,Tuesday,1,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-04,20230104,4,1,January,2023,Wednesday,1,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-05,20230105,5,1,January,2023,Thursday,1,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-06,20230106,6,1,January,2023,Friday,1,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-07,20230107,7,1,January,2023,Saturday,1,1,2025-11-18 11:50:37,Weekend,0,Q1,2023-Jan
2023-01-08,20230108,8,1,January,2023,Sunday,1,1,2025-11-18 11:50:37,Weekend,0,Q1,2023-Jan
2023-01-09,20230109,9,1,January,2023,Monday,2,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-10,20230110,10,1,January,2023,Tuesday,2,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-11,20230111,11,1,January,2023,Wednesday,2,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-12,20230112,12,1,January,2023,Thursday,2,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-13,20230113,13,1,January,2023,Friday,2,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-14,20230114,14,1,January,2023,Saturday,2,1,2025-11-18 11:50:37,Weekend,0,Q1,2023-Jan
2023-01-15,20230115,15,1,January,2023,Sunday,2,1,2025-11-18 11:50:37,Weekend,0,Q1,2023-Jan
2023-01-16,20230116,16,1,January,2023,Monday,3,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-17,20230117,17,1,January,2023,Tuesday,3,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-18,20230118,18,1,January,2023,Wednesday,3,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-19,20230119,19,1,January,2023,Thursday,3,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-20,20230120,20,1,January,2023,Friday,3,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-21,20230121,21,1,January,2023,Saturday,3,1,2025-11-18 11:50:37,Weekend,0,Q1,2023-Jan
2023-01-22,20230122,22,1,January,2023,Sunday,3,1,2025-11-18 11:50:37,Weekend,0,Q1,2023-Jan
2023-01-23,20230123,23,1,January,2023,Monday,4,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-24,20230124,24,1,January,2023,Tuesday,4,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-25,20230125,25,1,January,2023,Wednesday,4,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
2023-01-26,20230126,26,1,January,2023,Thursday,4,0,2025-11-18 11:50:37,Weekday,0,Q1,2023-Jan
