temp_key,temp,temp_celsius,temp_celsius_round,temp_bin,temp_category
1,0.24,9.84,10,10-18°C,Cold
2,0.22,9.02,9,0-9°C,Very Cold
3,0.2,8.200000000000001,8,0-9°C,Very Cold
4,0.32,13.120000000000001,13,10-18°C,Cold
5,0.38,15.58,16,10-18°C,Cold
6,0.36,14.76,15,10-18°C,Cold
7,0.42,17.22,17,10-18°C,Cold
8,0.46,18.86,19,19-24°C,Mild
9,0.44,18.04,18,10-18°C,Cold
10,0.4,16.400000000000002,16,10-18°C,Cold
11,0.34,13.940000000000001,14,10-18°C,Cold
12,0.3,12.299999999999999,12,10-18°C,Cold
13,0.26,10.66,11,10-18°C,Cold
14,0.16,6.5600000000000005,7,0-9°C,Very Cold
15,0.14,5.74,6,0-9°C,Very Cold
16,0.18,7.38,7,0-9°C,Very Cold
17,0.12,4.92,5,0-9°C,Very Cold
18,0.28,11.48,11,10-18°C,Cold
19,0.1,4.1000000000000005,4,0-9°C,Very Cold
20,0.08,3.2800000000000002,3,0-9°C,Very Cold
21,0.06,2.46,2,0-9°C,Very Cold
22,0.04,1.6400000000000001,2,0-9°C,Very Cold
23,0.02,0.8200000000000001,1,0-9°C,Very Cold
24,0.52,21.32,21,19-24°C,Mild
25,0.56,22.96,23,19-24°C,Mild
26,0.58,23.779999999999998,24,19-24°C,Mild
27,0.6,24.599999999999998,25,25-30°C,Warm
28,0.48,19.68,20,19-24°C,Mild
29,0.54,22.14,22,19-24°C,Mild
30,0.5,20.5,20,19-24°C,Mild
31,0.66,27.060000000000002,27,25-30°C,Warm
32,0.64,26.240000000000002,26,25-30°C,Warm
33,0.62,25.419999999999998,25,25-30°C,Warm
34,0.68,27.880000000000003,28,25-30°C,Warm
35,0.7,28.7,29,25-30°C,Warm
36,0.74,30.34,30,25-30°C,Warm
37,0.76,31.16,31,31-35°C,Hot
38,0.72,29.52,30,25-30°C,Warm
39,0.78,31.98,32,31-35°C,Hot
40,0.82,33.62,34,31-35°C,Hot
41,0.8,32.800000000000004,33,31-35°C,Hot
42,0.86,35.26,35,31-35°C,Hot
43,0.88,36.08,36,36°C+,Very Hot
44,0.9,36.9,37,36°C+,Very Hot
45,0.84,34.44,34,31-35°C,Hot
46,0.92,37.72,38,36°C+,Very Hot
47,0.94,38.54,39,36°C+,Very Hot
48,0.96,39.36,39,36°C+,Very Hot
49,0.98,40.18,40,36°C+,Very Hot
50,1.0,41.0,41,36°C+,Very Hot
