index,temp_key,humidity_key,windspeed_key,season_key,weather_key,hour_key,datekey,demand,data_extract_ts
1,1,1,1,1,1,0,20230101,16,2025-11-18 11:50:37
2,2,2,1,1,1,1,20230101,40,2025-11-18 11:50:37
3,2,2,1,1,1,2,20230101,32,2025-11-18 11:50:37
4,1,3,1,1,1,3,20230101,13,2025-11-18 11:50:37
5,1,3,1,1,1,4,20230101,1,2025-11-18 11:50:37
6,1,3,2,1,2,5,20230101,1,2025-11-18 11:50:37
7,2,2,1,1,1,6,20230101,2,2025-11-18 11:50:37
8,3,4,1,1,1,7,20230101,3,2025-11-18 11:50:37
9,1,3,1,1,1,8,20230101,8,2025-11-18 11:50:37
10,4,5,1,1,1,9,20230101,14,2025-11-18 11:50:37
11,5,5,3,1,1,10,20230101,36,2025-11-18 11:50:37
12,6,1,4,1,1,11,20230101,56,2025-11-18 11:50:37
13,7,6,4,1,1,12,20230101,84,2025-11-18 11:50:37
14,8,7,5,1,2,13,20230101,94,2025-11-18 11:50:37
15,8,7,4,1,2,14,20230101,106,2025-11-18 11:50:37
16,9,6,5,1,2,15,20230101,110,2025-11-18 11:50:37
17,7,8,5,1,2,16,20230101,93,2025-11-18 11:50:37
18,9,8,4,1,2,17,20230101,67,2025-11-18 11:50:37
19,7,9,3,1,3,18,20230101,35,2025-11-18 11:50:37
20,7,9,3,1,3,19,20230101,37,2025-11-18 11:50:37
21,10,10,3,1,2,20,20230101,36,2025-11-18 11:50:37
22,10,10,6,1,2,21,20230101,34,2025-11-18 11:50:37
23,10,11,7,1,2,22,20230101,28,2025-11-18 11:50:37
24,8,9,5,1,2,23,20230101,39,2025-11-18 11:50:37
25,8,9,5,1,2,0,20230102,17,2025-11-18 11:50:37
26,9,11,3,1,2,1,20230102,17,2025-11-18 11:50:37
27,7,12,4,1,2,2,20230102,9,2025-11-18 11:50:37
28,8,11,6,1,2,3,20230102,6,2025-11-18 11:50:37
29,8,11,6,1,2,4,20230102,3,2025-11-18 11:50:37
30,7,6,5,1,3,6,20230102,2,2025-11-18 11:50:37
31,10,5,6,1,2,7,20230102,1,2025-11-18 11:50:37
32,10,13,7,1,3,8,20230102,8,2025-11-18 11:50:37
33,5,5,7,1,2,9,20230102,20,2025-11-18 11:50:37
34,6,1,7,1,2,10,20230102,53,2025-11-18 11:50:37
35,6,13,3,1,2,11,20230102,70,2025-11-18 11:50:37
36,6,14,5,1,2,12,20230102,93,2025-11-18 11:50:37
37,6,14,8,1,2,13,20230102,75,2025-11-18 11:50:37
38,6,5,6,1,3,14,20230102,59,2025-11-18 11:50:37
39,11,1,9,1,3,15,20230102,74,2025-11-18 11:50:37
40,11,13,9,1,3,16,20230102,76,2025-11-18 11:50:37
41,11,15,6,1,1,17,20230102,65,2025-11-18 11:50:37
42,6,16,10,1,2,18,20230102,53,2025-11-18 11:50:37
43,4,17,11,1,1,19,20230102,30,2025-11-18 11:50:37
44,12,18,12,1,1,20,20230102,22,2025-11-18 11:50:37
45,13,19,10,1,1,21,20230102,31,2025-11-18 11:50:37
46,1,19,5,1,1,22,20230102,9,2025-11-18 11:50:37
47,2,20,9,1,1,23,20230102,8,2025-11-18 11:50:37
48,2,19,12,1,1,0,20230103,5,2025-11-18 11:50:37
49,3,19,13,1,1,1,20230103,2,2025-11-18 11:50:37
50,14,20,14,1,1,4,20230103,1,2025-11-18 11:50:37
51,14,20,4,1,1,5,20230103,3,2025-11-18 11:50:37
52,15,21,14,1,1,6,20230103,30,2025-11-18 11:50:37
53,15,21,6,1,1,7,20230103,64,2025-11-18 11:50:37
54,15,21,4,1,1,8,20230103,154,2025-11-18 11:50:37
55,14,22,14,1,1,9,20230103,88,2025-11-18 11:50:37
56,16,22,3,1,1,10,20230103,44,2025-11-18 11:50:37
57,3,23,10,1,1,11,20230103,51,2025-11-18 11:50:37
58,2,24,5,1,1,12,20230103,61,2025-11-18 11:50:37
59,1,24,4,1,1,13,20230103,61,2025-11-18 11:50:37
60,13,25,4,1,1,14,20230103,77,2025-11-18 11:50:37
61,13,25,3,1,1,15,20230103,72,2025-11-18 11:50:37
62,13,25,3,1,1,16,20230103,76,2025-11-18 11:50:37
63,1,25,7,1,1,17,20230103,157,2025-11-18 11:50:37
64,1,26,15,1,1,18,20230103,157,2025-11-18 11:50:37
65,3,20,1,1,1,19,20230103,110,2025-11-18 11:50:37
66,3,20,15,1,1,20,20230103,52,2025-11-18 11:50:37
67,16,27,8,1,1,21,20230103,52,2025-11-18 11:50:37
68,15,28,8,1,1,22,20230103,20,2025-11-18 11:50:37
69,16,29,15,1,1,23,20230103,12,2025-11-18 11:50:37
70,14,29,15,1,1,0,20230104,5,2025-11-18 11:50:37
71,14,30,15,1,1,1,20230104,2,2025-11-18 11:50:37
72,15,31,8,1,1,2,20230104,1,2025-11-18 11:50:37
73,15,31,2,1,1,4,20230104,2,2025-11-18 11:50:37
74,17,32,15,1,1,5,20230104,4,2025-11-18 11:50:37
75,17,33,15,1,1,6,20230104,36,2025-11-18 11:50:37
76,17,33,8,1,1,7,20230104,94,2025-11-18 11:50:37
77,15,28,9,1,1,8,20230104,179,2025-11-18 11:50:37
78,14,27,7,1,1,9,20230104,100,2025-11-18 11:50:37
79,14,28,10,1,2,10,20230104,42,2025-11-18 11:50:37
80,2,34,5,1,1,11,20230104,57,2025-11-18 11:50:37
81,2,34,9,1,1,12,20230104,78,2025-11-18 11:50:37
82,1,35,6,1,1,13,20230104,97,2025-11-18 11:50:37
83,13,36,7,1,1,14,20230104,63,2025-11-18 11:50:37
84,18,36,3,1,1,15,20230104,65,2025-11-18 11:50:37
85,12,37,3,1,1,16,20230104,83,2025-11-18 11:50:37
86,18,38,7,1,1,17,20230104,212,2025-11-18 11:50:37
87,13,38,6,1,1,18,20230104,182,2025-11-18 11:50:37
88,1,38,15,1,1,19,20230104,112,2025-11-18 11:50:37
89,1,38,15,1,1,20,20230104,54,2025-11-18 11:50:37
90,2,27,1,1,1,21,20230104,48,2025-11-18 11:50:37
91,2,27,2,1,1,22,20230104,35,2025-11-18 11:50:37
92,3,28,2,1,1,23,20230104,11,2025-11-18 11:50:37
93,3,27,1,1,1,0,20230105,6,2025-11-18 11:50:37
94,14,33,2,1,1,1,20230105,6,2025-11-18 11:50:37
95,14,33,2,1,1,2,20230105,2,2025-11-18 11:50:37
96,1,38,7,1,1,4,20230105,2,2025-11-18 11:50:37
97,2,20,9,1,1,5,20230105,3,2025-11-18 11:50:37
98,3,20,7,1,1,6,20230105,33,2025-11-18 11:50:37
99,16,22,6,1,1,7,20230105,88,2025-11-18 11:50:37
100,3,23,5,1,1,8,20230105,195,2025-11-18 11:50:37
101,2,39,10,1,1,9,20230105,115,2025-11-18 11:50:37
102,2,39,10,1,1,10,20230105,57,2025-11-18 11:50:37
103,13,40,10,1,1,11,20230105,46,2025-11-18 11:50:37
104,13,40,10,1,1,12,20230105,79,2025-11-18 11:50:37
105,18,25,5,1,1,13,20230105,71,2025-11-18 11:50:37
106,12,41,6,1,1,14,20230105,62,2025-11-18 11:50:37
107,12,41,6,1,1,15,20230105,62,2025-11-18 11:50:37
108,12,41,2,1,1,16,20230105,89,2025-11-18 11:50:37
109,1,42,6,1,1,17,20230105,190,2025-11-18 11:50:37
110,1,42,8,1,1,18,20230105,169,2025-11-18 11:50:37
111,1,42,15,1,1,19,20230105,132,2025-11-18 11:50:37
112,2,20,9,1,1,20,20230105,89,2025-11-18 11:50:37
113,3,34,6,1,1,21,20230105,43,2025-11-18 11:50:37
114,16,29,8,1,1,22,20230105,42,2025-11-18 11:50:37
115,3,20,1,1,1,23,20230105,19,2025-11-18 11:50:37
116,16,29,1,1,1,0,20230106,11,2025-11-18 11:50:37
117,14,27,1,1,1,1,20230106,4,2025-11-18 11:50:37
118,14,27,1,1,1,2,20230106,2,2025-11-18 11:50:37
119,14,27,2,1,2,4,20230106,1,2025-11-18 11:50:37
120,15,28,2,1,2,5,20230106,4,2025-11-18 11:50:37
121,15,31,15,1,2,6,20230106,36,2025-11-18 11:50:37
122,14,30,1,1,2,7,20230106,95,2025-11-18 11:50:37
123,14,30,1,1,1,8,20230106,219,2025-11-18 11:50:37
124,16,34,1,1,2,9,20230106,122,2025-11-18 11:50:37
125,3,20,1,1,1,10,20230106,45,2025-11-18 11:50:37
126,2,19,2,1,1,11,20230106,59,2025-11-18 11:50:37
127,13,24,1,1,1,12,20230106,84,2025-11-18 11:50:37
128,13,24,15,1,1,13,20230106,67,2025-11-18 11:50:37
129,18,43,9,1,1,14,20230106,70,2025-11-18 11:50:37
130,18,43,1,1,1,15,20230106,62,2025-11-18 11:50:37
131,13,42,9,1,1,16,20230106,86,2025-11-18 11:50:37
132,2,34,9,1,1,17,20230106,172,2025-11-18 11:50:37
133,2,34,8,1,1,18,20230106,163,2025-11-18 11:50:37
134,2,29,2,1,1,19,20230106,112,2025-11-18 11:50:37
135,3,34,9,1,1,20,20230106,69,2025-11-18 11:50:37
136,2,29,7,1,2,21,20230106,48,2025-11-18 11:50:37
137,2,34,4,1,2,22,20230106,52,2025-11-18 11:50:37
138,3,30,6,1,2,23,20230106,23,2025-11-18 11:50:37
139,3,27,6,1,2,0,20230107,17,2025-11-18 11:50:37
140,3,28,7,1,2,1,20230107,7,2025-11-18 11:50:37
141,3,28,7,1,2,2,20230107,1,2025-11-18 11:50:37
142,3,28,8,1,2,4,20230107,1,2025-11-18 11:50:37
143,2,29,1,1,3,5,20230107,5,2025-11-18 11:50:37
144,3,28,1,1,2,6,20230107,34,2025-11-18 11:50:37
145,3,28,8,1,1,7,20230107,84,2025-11-18 11:50:37
146,3,34,3,1,1,8,20230107,210,2025-11-18 11:50:37
147,3,20,5,1,1,9,20230107,134,2025-11-18 11:50:37
148,2,39,10,1,1,10,20230107,63,2025-11-18 11:50:37
149,3,23,7,1,2,11,20230107,67,2025-11-18 11:50:37
150,3,39,3,1,2,12,20230107,59,2025-11-18 11:50:37
151,3,39,4,1,2,13,20230107,73,2025-11-18 11:50:37
152,3,23,3,1,2,14,20230107,50,2025-11-18 11:50:37
153,3,39,9,1,2,15,20230107,72,2025-11-18 11:50:37
154,3,39,9,1,2,16,20230107,87,2025-11-18 11:50:37
155,3,39,1,1,2,17,20230107,187,2025-11-18 11:50:37
156,3,23,2,1,1,18,20230107,123,2025-11-18 11:50:37
157,14,29,2,1,1,19,20230107,95,2025-11-18 11:50:37
158,16,20,15,1,1,20,20230107,51,2025-11-18 11:50:37
159,16,20,8,1,1,21,20230107,39,2025-11-18 11:50:37
160,16,22,9,1,2,22,20230107,36,2025-11-18 11:50:37
161,16,34,9,1,2,23,20230107,15,2025-11-18 11:50:37
162,16,34,9,1,2,0,20230108,25,2025-11-18 11:50:37
163,16,29,2,1,2,1,20230108,16,2025-11-18 11:50:37
164,16,29,1,1,2,2,20230108,16,2025-11-18 11:50:37
165,16,29,9,1,3,3,20230108,7,2025-11-18 11:50:37
166,16,29,9,1,3,4,20230108,1,2025-11-18 11:50:37
167,14,33,9,1,2,5,20230108,5,2025-11-18 11:50:37
168,14,33,9,1,2,6,20230108,2,2025-11-18 11:50:37
169,14,33,15,1,2,7,20230108,9,2025-11-18 11:50:37
170,14,44,15,1,3,8,20230108,15,2025-11-18 11:50:37
171,14,44,15,1,3,9,20230108,20,2025-11-18 11:50:37
172,16,2,9,1,2,10,20230108,61,2025-11-18 11:50:37
173,3,28,14,1,2,11,20230108,62,2025-11-18 11:50:37
174,3,30,12,1,2,12,20230108,98,2025-11-18 11:50:37
175,3,19,10,1,1,13,20230108,102,2025-11-18 11:50:37
176,3,26,16,1,1,14,20230108,95,2025-11-18 11:50:37
177,3,26,11,1,1,15,20230108,74,2025-11-18 11:50:37
178,16,45,11,1,1,16,20230108,76,2025-11-18 11:50:37
179,14,39,17,1,1,17,20230108,69,2025-11-18 11:50:37
180,15,18,5,1,1,18,20230108,55,2025-11-18 11:50:37
181,15,43,3,1,1,19,20230108,30,2025-11-18 11:50:37
182,17,43,3,1,1,20,20230108,28,2025-11-18 11:50:37
183,17,18,12,1,1,21,20230108,37,2025-11-18 11:50:37
184,17,43,14,1,1,22,20230108,34,2025-11-18 11:50:37
185,19,18,11,1,1,23,20230108,22,2025-11-18 11:50:37
186,19,17,14,1,1,0,20230109,25,2025-11-18 11:50:37
187,19,17,18,1,1,1,20230109,12,2025-11-18 11:50:37
188,19,16,18,1,1,2,20230109,11,2025-11-18 11:50:37
189,19,16,13,1,1,3,20230109,4,2025-11-18 11:50:37
190,20,46,6,1,1,4,20230109,1,2025-11-18 11:50:37
191,20,46,6,1,1,5,20230109,1,2025-11-18 11:50:37
192,19,37,4,1,1,6,20230109,1,2025-11-18 11:50:37
193,20,46,6,1,1,7,20230109,6,2025-11-18 11:50:37
194,19,37,4,1,1,8,20230109,10,2025-11-18 11:50:37
195,17,16,19,1,1,9,20230109,19,2025-11-18 11:50:37
196,15,22,14,1,1,10,20230109,49,2025-11-18 11:50:37
197,14,23,19,1,1,11,20230109,49,2025-11-18 11:50:37
198,16,39,11,1,1,12,20230109,83,2025-11-18 11:50:37
199,3,47,11,1,1,13,20230109,75,2025-11-18 11:50:37
200,2,26,18,1,1,14,20230109,72,2025-11-18 11:50:37
201,2,24,12,1,1,15,20230109,82,2025-11-18 11:50:37
202,3,47,11,1,1,16,20230109,92,2025-11-18 11:50:37
203,16,39,14,1,1,17,20230109,62,2025-11-18 11:50:37
204,14,23,10,1,1,18,20230109,48,2025-11-18 11:50:37
205,14,22,10,1,1,19,20230109,41,2025-11-18 11:50:37
206,15,16,3,1,1,20,20230109,38,2025-11-18 11:50:37
207,15,16,13,1,1,21,20230109,20,2025-11-18 11:50:37
208,15,16,5,1,1,22,20230109,15,2025-11-18 11:50:37
209,17,21,6,1,1,23,20230109,6,2025-11-18 11:50:37
210,17,21,4,1,1,0,20230110,5,2025-11-18 11:50:37
211,17,21,4,1,1,1,20230110,1,2025-11-18 11:50:37
212,17,21,7,1,1,2,20230110,3,2025-11-18 11:50:37
213,17,21,7,1,1,3,20230110,1,2025-11-18 11:50:37
214,19,48,8,1,1,4,20230110,3,2025-11-18 11:50:37
215,19,48,3,1,1,5,20230110,3,2025-11-18 11:50:37
216,17,21,4,1,1,6,20230110,31,2025-11-18 11:50:37
217,17,21,7,1,1,7,20230110,77,2025-11-18 11:50:37
218,17,21,4,1,2,8,20230110,188,2025-11-18 11:50:37
219,15,21,3,1,2,9,20230110,94,2025-11-18 11:50:37
220,15,21,5,1,2,10,20230110,31,2025-11-18 11:50:37
221,14,20,4,1,2,11,20230110,30,2025-11-18 11:50:37
222,3,23,4,1,2,12,20230110,52,2025-11-18 11:50:37
223,3,23,4,1,2,13,20230110,54,2025-11-18 11:50:37
224,3,23,7,1,2,14,20230110,47,2025-11-18 11:50:37
225,3,23,7,1,2,15,20230110,45,2025-11-18 11:50:37
226,3,23,8,1,1,16,20230110,74,2025-11-18 11:50:37
