index,date,season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,demand,data_extract_ts
1,1/01/2023,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,2025-11-18 11:50:37
2,1/01/2023,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,2025-11-18 11:50:37
3,1/01/2023,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,2025-11-18 11:50:37
4,1/01/2023,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,2025-11-18 11:50:37
5,1/01/2023,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,2025-11-18 11:50:37
6,1/01/2023,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,2025-11-18 11:50:37
7,1/01/2023,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,2025-11-18 11:50:37
8,1/01/2023,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,2025-11-18 11:50:37
9,1/01/2023,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,2025-11-18 11:50:37
10,1/01/2023,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,2025-11-18 11:50:37
11,1/01/2023,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,2025-11-18 11:50:37
12,1/01/2023,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,2025-11-18 11:50:37
13,1/01/2023,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,2025-11-18 11:50:37
14,1/01/2023,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,2025-11-18 11:50:37
15,1/01/2023,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,2025-11-18 11:50:37
16,1/01/2023,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,2025-11-18 11:50:37
17,1/01/2023,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,2025-11-18 11:50:37
18,1/01/2023,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,2025-11-18 11:50:37
19,1/01/2023,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,2025-11-18 11:50:37
20,1/01/2023,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,2025-11-18 11:50:37
21,1/01/2023,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,2025-11-18 11:50:37
22,1/01/2023,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,2025-11-18 11:50:37
23,1/01/2023,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,2025-11-18 11:50:37
24,1/01/2023,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,2025-11-18 11:50:37
25,2/01/2023,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2025-11-18 11:50:37
26,2/01/2023,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2025-11-18 11:50:37
27,2/01/2023,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2025-11-18 11:50:37
28,2/01/2023,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,2025-11-18 11:50:37
29,2/01/2023,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,2025-11-18 11:50:37
30,2/01/2023,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2025-11-18 11:50:37
31,2/01/2023,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,2025-11-18 11:50:37
32,2/01/2023,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2025-11-18 11:50:37
33,2/01/2023,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2025-11-18 11:50:37
34,2/01/2023,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2025-11-18 11:50:37
35,2/01/2023,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2025-11-18 11:50:37
36,2/01/2023,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2025-11-18 11:50:37
37,2/01/2023,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2025-11-18 11:50:37
38,2/01/2023,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,2025-11-18 11:50:37
39,2/01/2023,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2025-11-18 11:50:37
40,2/01/2023,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2025-11-18 11:50:37
41,2/01/2023,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2025-11-18 11:50:37
42,2/01/2023,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2025-11-18 11:50:37
43,2/01/2023,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,2025-11-18 11:50:37
44,2/01/2023,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,2025-11-18 11:50:37
45,2/01/2023,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,2025-11-18 11:50:37
46,2/01/2023,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,2025-11-18 11:50:37
47,2/01/2023,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,2025-11-18 11:50:37
48,3/01/2023,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,2025-11-18 11:50:37
49,3/01/2023,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,2025-11-18 11:50:37
50,3/01/2023,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,2025-11-18 11:50:37
51,3/01/2023,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,2025-11-18 11:50:37
52,3/01/2023,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,2025-11-18 11:50:37
53,3/01/2023,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,2025-11-18 11:50:37
54,3/01/2023,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,2025-11-18 11:50:37
55,3/01/2023,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,2025-11-18 11:50:37
56,3/01/2023,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,2025-11-18 11:50:37
57,3/01/2023,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,2025-11-18 11:50:37
58,3/01/2023,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,2025-11-18 11:50:37
59,3/01/2023,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,2025-11-18 11:50:37
60,3/01/2023,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,2025-11-18 11:50:37
61,3/01/2023,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,2025-11-18 11:50:37
62,3/01/2023,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,2025-11-18 11:50:37
63,3/01/2023,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,2025-11-18 11:50:37
