humidity_key,humidity,humidity_percentage,humidity_bin,humidity_category
1,0.81,81.0,80-100%,Very Humid
2,0.8,80.0,80-100%,Very Humid
3,0.75,75.0,60-79%,Humid
4,0.86,86.0,80-100%,Very Humid
5,0.76,76.0,60-79%,Humid
6,0.77,77.0,60-79%,Humid
7,0.72,72.0,60-79%,Humid
8,0.82,82.0,80-100%,Very Humid
9,0.88,88.0,80-100%,Very Humid
10,0.87,87.0,80-100%,Very Humid
11,0.94,94.0,80-100%,Very Humid
12,1.0,100.0,80-100%,Very Humid
13,0.71,71.0,60-79%,Humid
14,0.66,66.0,60-79%,Humid
15,0.57,57.0,30-59%,Comfortable
16,0.46,46.0,30-59%,Comfortable
17,0.42,42.0,30-59%,Comfortable
18,0.39,39.0,30-59%,Comfortable
19,0.44,44.0,30-59%,Comfortable
20,0.47,47.0,30-59%,Comfortable
21,0.5,50.0,30-59%,Comfortable
22,0.43,43.0,30-59%,Comfortable
23,0.4,40.0,30-59%,Comfortable
24,0.35,35.0,30-59%,Comfortable
25,0.3,30.0,30-59%,Comfortable
26,0.32,32.0,30-59%,Comfortable
27,0.64,64.0,60-79%,Humid
28,0.69,69.0,60-79%,Humid
29,0.55,55.0,30-59%,Comfortable
30,0.59,59.0,30-59%,Comfortable
31,0.63,63.0,60-79%,Humid
32,0.68,68.0,60-79%,Humid
33,0.74,74.0,60-79%,Humid
34,0.51,51.0,30-59%,Comfortable
35,0.56,56.0,30-59%,Comfortable
36,0.52,52.0,30-59%,Comfortable
37,0.49,49.0,30-59%,Comfortable
38,0.48,48.0,30-59%,Comfortable
39,0.37,37.0,30-59%,Comfortable
40,0.33,33.0,30-59%,Comfortable
41,0.28,28.0,0-29%,Dry
42,0.38,38.0,30-59%,Comfortable
43,0.36,36.0,30-59%,Comfortable
44,0.93,93.0,80-100%,Very Humid
45,0.29,29.0,0-29%,Dry
46,0.53,53.0,30-59%,Comfortable
47,0.34,34.0,30-59%,Comfortable
48,0.54,54.0,30-59%,Comfortable
49,0.41,41.0,30-59%,Comfortable
50,0.45,45.0,30-59%,Comfortable
51,0.92,92.0,80-100%,Very Humid
52,0.62,62.0,60-79%,Humid
53,0.58,58.0,30-59%,Comfortable
54,0.61,61.0,60-79%,Humid
55,0.6,60.0,60-79%,Humid
56,0.65,65.0,60-79%,Humid
57,0.7,70.0,60-79%,Humid
58,0.27,27.0,0-29%,Dry
59,0.21,21.0,0-29%,Dry
60,0.25,25.0,0-29%,Dry
61,0.26,26.0,0-29%,Dry
62,0.31,31.0,30-59%,Comfortable
63,0.73,73.0,60-79%,Humid
64,0.24,24.0,0-29%,Dry
65,0.23,23.0,0-29%,Dry
66,0.22,22.0,0-29%,Dry
67,0.19,19.0,0-29%,Dry
68,0.15,15.0,0-29%,Dry
69,0.67,67.0,60-79%,Humid
70,0.1,10.0,0-29%,Dry
71,0.08,8.0,0-29%,Dry
72,0.12,12.0,0-29%,Dry
73,0.14,14.0,0-29%,Dry
74,0.13,13.0,0-29%,Dry
75,0.17,17.0,0-29%,Dry
76,0.16,16.0,0-29%,Dry
77,0.18,18.0,0-29%,Dry
78,0.96,96.0,80-100%,Very Humid
79,0.2,20.0,0-29%,Dry
80,0.85,85.0,80-100%,Very Humid
81,0.0,0.0,0-29%,Dry
82,0.9,90.0,80-100%,Very Humid
83,0.83,83.0,80-100%,Very Humid
84,0.78,78.0,60-79%,Humid
85,0.84,84.0,80-100%,Very Humid
86,0.89,89.0,80-100%,Very Humid
87,0.79,79.0,60-79%,Humid
88,0.97,97.0,80-100%,Very Humid
89,0.91,91.0,80-100%,Very Humid
